lost_item_id,user_id,organization_id,category_id,title,description,size,date_lost,location_lat,location_lng,location_name,status,created_at
87,79,1,7,Pen set,Pen set. Everyone worker would music sometimes body.,Small,2026-03-19,33.9987261,71.4683503,IMSciences Mosque,Matched,2026-03-19 20:42:00
88,89,1,7,Umbrella,Umbrella. Address so draw food company appear score.,Large,2026-05-07,33.9991114,71.4685585,IMSciences Library 1st Floor,Pending,2026-05-07 15:02:00
89,76,1,3,Suzuki bike keys,Suzuki bike keys. Second live sing message board mean war.,Small,2026-03-21,33.998718,71.468459,IMSciences Reception,Pending,2026-03-21 10:50:00
90,71,1,3,Locker keys,Locker keys. Feeling poor all your suggest international blue Republican kitchen tonight focus chance.,Small,2026-03-29,33.9990656,71.4685777,IMSciences Parking Area,Closed,2026-03-29 12:47:00
91,45,1,7,Lunch box,Lunch box. Person one Republican herself our far measure involve soldier.,Medium,2026-03-28,33.9988063,71.4686866,IMSciences Library 1st Floor,Returned,2026-03-28 19:43:00
92,52,1,7,Pen set,Pen set. Result Democrat later direction fund law indeed believe interview professor hear check type.,Small,2026-03-23,33.9990278,71.4684658,IMSciences Lab 2,Pending,2026-03-23 13:43:00
93,97,1,6,Hoodie sweatshirt,Hoodie sweatshirt. Story behavior benefit school speech news only.,Large,2026-05-10,33.999279,71.4687861,IMSciences Block B,Pending,2026-05-10 11:30:00
94,5,1,5,Travel suitcase,Travel suitcase. Form business government program seek test return why outside goal official defense prevent.,Large,2026-04-07,33.9989491,71.4684442,IMSciences Main Gate,Pending,2026-04-07 19:19:00
95,85,1,4,Black leather wallet,Black leather wallet. Glass news boy everything difficult investment night.,Small,2026-05-10,33.9989785,71.4682617,IMSciences Cafeteria,Pending,2026-05-10 09:15:00
96,70,1,2,Result card,Result card. Participant price really ahead event several.,Medium,2026-04-18,33.9991682,71.4686773,IMSciences Block A,Returned,2026-04-18 14:37:00
97,97,1,6,Wool cap,Wool cap. Accept thank not husband center plan air second Democrat information.,Medium,2026-04-19,33.9986896,71.4684457,IMSciences Mosque,Pending,2026-04-19 12:02:00
98,90,1,3,Office keys,Office keys. Have return since nothing be apply church pay.,Medium,2026-03-24,33.9993802,71.4687722,IMSciences Block C,Pending,2026-03-24 18:23:00
99,71,1,6,Cardigan,Cardigan. Kitchen interest parent increase democratic mention generation book question.,Small,2026-05-13,33.9990604,71.4687973,IMSciences Block B,Returned,2026-05-13 21:29:00
100,13,1,6,Pair of gloves,Pair of gloves. Money final determine worker area daughter war should share face build market.,Large,2026-04-27,33.9988889,71.4682585,IMSciences Mosque,Matched,2026-04-27 11:08:00
